
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
F4:2E:7F:25:6C:A1, 2023-03-21 01:56:19, 2023-03-21 01:58:03,  1, 260, WPA2, CCMP, MGT, -28,       20,        0,   0.  0.  0.  0,  10, MissionNet, 
20:A6:CD:73:89:44, 2023-03-21 01:56:29, 2023-03-21 01:57:58, 11, 260, OPN, ,   , -32,       13,        0,   0.  0.  0.  0,  11, CadetNetDev, 
F4:2E:7F:1F:57:01, 2023-03-21 01:56:41, 2023-03-21 01:57:58, 11, 260, WPA2, CCMP, MGT, -33,       20,        0,   0.  0.  0.  0,  10, MissionNet, 
F4:2E:7F:25:6C:B4, 2023-03-21 01:57:01, 2023-03-21 01:57:01,  7,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
F4:2E:7F:25:6C:A0, 2023-03-21 01:56:34, 2023-03-21 01:57:01,  1, 260, OPN, ,   , -25,       11,        0,   0.  0.  0.  0,   0, , 
F4:2E:7F:25:6C:A3, 2023-03-21 01:56:34, 2023-03-21 01:56:50,  1, 260, WPA2, CCMP, MGT, -11,       10,        0,   0.  0.  0.  0,  11, eduwireless, 
84:D4:7E:1A:83:22, 2023-03-21 01:56:22, 2023-03-21 01:56:46, 11, 130, OPN, ,   , -27,       30,        0,   0.  0.  0.  0,   8, CadetNet, 
FA:8F:CA:5B:60:4D, 2023-03-21 01:51:30, 2023-03-21 01:56:50,  6, 270, OPN, ,   , -28,      432,        0,   0.  0.  0.  0,  22, JBL Bar 9.1_5678.l033,, 
B0:B8:67:4E:7E:44, 2023-03-21 01:56:42, 2023-03-21 01:56:46,  1,  -1, OPN, ,   , -85,        0,        2,   0.  0.  0.  0,   0, , 
F4:2E:7F:1F:61:44, 2023-03-21 01:56:18, 2023-03-21 01:56:50,  1, 260, OPN, ,   , -87,        6,      117,  10.192.127. 96,  16, AF_ACADEMY_GUEST, 
F4:2E:7F:25:64:22, 2023-03-21 01:56:25, 2023-03-21 01:56:37, 11, 260, WPA2, CCMP, MGT,  -3,       16,        0,   0.  0.  0.  0,   8, GuestNet, 
F4:2E:7F:1F:61:43, 2023-03-21 01:56:30, 2023-03-21 01:56:34,  1, 260, WPA2, CCMP, MGT,  -5,        4,        0,   0.  0.  0.  0,  11, eduwireless, 
F4:2E:7F:25:64:23, 2023-03-21 01:56:18, 2023-03-21 01:56:37, 11, 260, WPA2, CCMP, MGT,  -7,        9,        0,   0.  0.  0.  0,  11, eduwireless, 
F4:2E:7F:25:64:21, 2023-03-21 01:56:21, 2023-03-21 01:56:38, 11, 260, WPA2, CCMP, MGT,  -8,       23,        0,   0.  0.  0.  0,  10, MissionNet, 
