
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
F4:2E:7F:1F:57:00, 2023-03-21 23:34:03, 2023-03-21 23:34:03, 11, 260, OPN, ,   , -88,        1,        0,   0.  0.  0.  0,   0, , 
F4:2E:7F:1F:57:04, 2023-03-21 23:33:57, 2023-03-21 23:34:18, 11,  -1, OPN, ,   , -87,        0,        7,   0.  0.  0.  0,   0, , 
AC:A3:1E:CB:D9:62, 2023-03-21 23:34:17, 2023-03-21 23:34:23, 11, 130, OPN, ,   , -86,        1,        1,  10.  0. 36.229,   8, CadetNet, 
F4:2E:7F:25:6C:A0, 2023-03-21 23:33:55, 2023-03-21 23:34:19,  1, 260, OPN, ,   , -85,        8,        0,   0.  0.  0.  0,   0, , 
20:A6:CD:73:BE:E4, 2023-03-21 23:33:54, 2023-03-21 23:34:23, 11, 260, OPN, ,   , -85,       14,        0,   0.  0.  0.  0,  11, CadetNetDev, 
F4:2E:7F:25:6C:A4, 2023-03-21 23:33:53, 2023-03-21 23:34:24,  1, 260, OPN, ,   , -84,        7,       76,   0.  0.  0.  0,  16, AF_ACADEMY_GUEST, 
20:A6:CD:73:D9:E2, 2023-03-21 23:33:55, 2023-03-21 23:34:15, 11, 260, OPN, ,   , -84,        4,        2,   0.  0.  0.  0,   8, CadetNet, 
F4:2E:7F:25:6C:A2, 2023-03-21 23:33:55, 2023-03-21 23:34:15,  1, 260, WPA2, CCMP, MGT, -84,        7,        0,   0.  0.  0.  0,   8, GuestNet, 
20:A6:CD:73:BE:E3, 2023-03-21 23:33:57, 2023-03-21 23:34:24, 11, 260, WPA2, CCMP, PSK, -85,       11,        0,   0.  0.  0.  0,  14, CadetNetHidden, 
F4:2E:7F:1F:9B:E1, 2023-03-21 23:33:53, 2023-03-21 23:34:24,  1,  -1, WPA, ,   , -82,        0,       54,   0.  0.  0.  0,   0, , 
20:A6:CD:73:D9:E3, 2023-03-21 23:33:55, 2023-03-21 23:34:15, 11, 260, WPA2, CCMP, PSK, -83,        4,        0,   0.  0.  0.  0,  14, CadetNetHidden, 
F4:2E:7F:25:6C:A1, 2023-03-21 23:33:58, 2023-03-21 23:34:20,  1, 260, WPA2, CCMP, MGT, -83,        4,        0,   0.  0.  0.  0,  10, MissionNet, 
20:A6:CD:73:BE:E2, 2023-03-21 23:33:55, 2023-03-21 23:34:24, 11, 260, OPN, ,   , -83,       12,        0,   0.  0.  0.  0,   8, CadetNet, 
20:A6:CD:73:D9:E4, 2023-03-21 23:33:55, 2023-03-21 23:34:15, 11, 260, OPN, ,   , -82,        3,        0,   0.  0.  0.  0,  11, CadetNetDev, 
F4:2E:7F:25:6E:E4, 2023-03-21 23:34:22, 2023-03-21 23:34:22, 11, 260, OPN, ,   , -80,        1,        0,   0.  0.  0.  0,  16, AF_ACADEMY_GUEST, 
F4:2E:7F:1F:9B:E4, 2023-03-21 23:33:54, 2023-03-21 23:34:24,  1, 260, OPN, ,   , -83,        4,       75,   0.  0.  0.  0,  16, AF_ACADEMY_GUEST, 
